comp,marketcap,ev,evsales,evebitda,revgrowththree,revgrowthttm,epsgrowththree,operatingmarginttm,netmargin,roettm,roi,debtequity
V,497302,501331.2,29.107920133360725,42.746105359801824,5.96981,-4.92231,15.64187,64.45574,49.73908,14.1583,17.30696,66.47335
MA,339742,340593.2,22.10441548447654,38.45160177135259,16.14413,-4.18407,29.01485,54.00449,42.95608,23.27052,36.48892,216.9427
PYPL,255159,249376.3,12.41876486373817,58.15196638353886,17.90772,19.14656,21.63266,15.39485,15.4786,5.42636,11.59945,48.35254
SQ,93862,93261.748,13.228168218025786,422.00820321163246,40.24605,76.6154,,4.27069,4.05233,5.11914,9.33408,108.2058
FIS,93809,109966.52,8.780691848412264,19.861958459799563,5.3753,37.35532,-25.34253,4.03848,-0.75523,-0.11383,-0.13284,41.17599
FISV,78394,99400.3,6.75887571802132,21.072539435274436,22.77113,95.82738,-6.29543,12.04115,5.86127,1.17548,1.49494,67.08002
ADP,74952,75048.5,5.177336577901253,19.912041868589583,5.65007,1.8831,12.71683,21.55883,17.02667,6.19164,26.70249,34.32492
GPN,59442,67352.855,9.061453451120808,22.91465728378637,,96.62921,,11.20331,6.15365,1.02574,1.14143,34.98866
PAYX,33631,30070.25,7.583418170797074,18.485805247661727,8.61847,2.02476,10.10531,35.05414,26.26422,12.28908,26.37321,28.89945
FLT,22272,26037.231,11.102470268634677,20.047614882478463,13.08709,-4.74229,27.88576,40.44368,29.54477,6.34448,9.84093,152.9258
